#Country,Capital,Continent
Luxembourg,Luxembourg,Europe
Macedonia,Skopje,Europe
Madagascar,Antananarivo,Africa
Malawi,Lilongwe,Africa
Malaysia,Kuala Lumpur,Asia
Maldives,Male,Asia
Mali,Bamako,Africa
Malta,Valletta,Europe
Marshall Islands,Majuro,Oceania
Mauritania,Nouakchott,Africa
Mauritius,Port Louis,Africa
Mexico,Mexico City,North America
Micronesia,Palikir,Oceania
Moldova,Chisinau,Europe
Monaco,Monaco,Europe
Mongolia,Ulan Bator,Asia
Montenegro,Podgorica,Europe
Montserrat,"Brades, Plymouth",North America
Morocco,Rabat,Europe
Mozambique,Maputo,Africa
Myanmar,Naypyidaw,Asia
Namibia,Windhoek,Africa
Nauru,Yaren,Oceania
Nepal,Kathmandu,Asia
Netherlands,Amsterdam,Europe
New Caledonia,Noumea,Oceania
New Zealand,Wellington,Oceania
Nicaragua,Managua,North America
Niger,Niamey,Africa
Nigeria,Abuja,Africa
Niue,Alofi,Oceania
Norfolk Island,Kingston,Oceania
North Korea,Pyongyang,Asia
Northern Mariana Islands,Saipan,Oceania
Norway,Oslo,Europe
Oman,Muscat,Asia
Pakistan,Islamabad,Asia
Palau,Ngerulmud,Oceania
Palestine,Ramallah and Gaza,Asia
Panama,Panama City,North America
Papua New Guinea,Port Moresby,Oceania
Paraguay,Asuncion,South America
Peru,Lima,South America
Philippines,Manila,Asia
Pitcairn Islands,Adamstown,Oceania
Poland,Warsaw,Europe
Portugal,Lisbon,Europe
Puerto Rico,San Juan,North America
Qatar,Doha,Africa
Republic of the Congo,Brazzaville,Africa
Romania,Bucharest,Europe
Russia,Moscow,Europe
Rwanda,Kigali,Africa
Saint Barthelemy,Gustavia,North America 
"Saint Helena, Ascension, and Tristan da Cunha",Jamestown,South America
Saint Kitts and Nevis,Basseterre,North America
Saint Lucia,Castries,North America
Saint Martin,Philipsburg,North America
Saint Pierre and Miquelon,Saint-Pierre,North America
Saint Vincent and the Grenadines,Kingstown,North America
Samoa,Apia,Oceania
San Marino,San Marino,Europe
Sao Tome and Principe,Sao Tome,Africa
Saudi Arabia,Riyadh,Asia
Senegal,Dakar,Africa
Serbia,Belgrade,Europe
Seychelles,Victoria,Africa
Sierra Leone,Freetown,Africa
Singapore,Singapore,Asia
Sint Maarten,Philipsburg,North America
Slovakia,Bratislava,Europe
Slovenia,Ljubljana,Europe
Solomon Islands,Honiara,Oceania
Somalia,Mogadishu,Africa
South Africa,Cape Town,Africa
South Korea,Seoul,Asia
South Sudan,Juba,Africa
Spain,Madrid,Europe
Sri Lanka,Sri Jayawardenapura-kotte,Asia
Sudan,Khartoum,Africa
Suriname,Paramaribo,South America
Swaziland,Mata-utu,Africa
Sweden,Stockholm,Europe
Switzerland,Bern,Europe
Syria,Damascus,Asia
Taiwan,Taipei,Asia
Tajikistan,Dushanbe,Asia
Tanzania,Dodoma,Africa
Thailand,Bangkok,Asia
Togo,Lome,Africa
Tokelau,Nukunonu,Oceania
Tonga,Nukualofa,Africa
Transnistria,Tiraspol,Europe
Trinidad and Tobago,Port Of Spain,North America
Tunisia,Tunis,Africa
Turkey,Ankara,Asia
Turkmenistan,Ashgabat,Asia
Turks and Caicos Islands,Cockburn Town,North America
Tuvalu,Funafuti,Oceania
Uganda,Kampala,Africa
Ukraine,Kiev,Europe
United Arab Emirates,Abu Dhabi,Asia
United Kingdom,London,Europe
United States,Washington D.C.,North America
United States Virgin Islands,Charlotte Amalie,North America
Uruguay,Montevideo,South America
Uzbekistan,Tashkent,Asia
Vanuatu,Port Vila,Oceania
Vatican City,Vatican City,Europe
Venezuela,Caracas,South America
Vietnam,Hanoi,Asia
Wallis and Futuna,Mata-Utu,Oceania
Western Sahara,El Aaiun,Africa
Yemen,Sana'a,Asia
Zambia,Lusaka,Africa
Zimbabwe,Harare,Africa
